Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller,Year,Runtime_Minutes,Rating,Votes,Revenue_Millions,Metascore_adj,Yes_Top,training
1,1,0,0,1,0,0,0,0,0,0,0,0,2016,129,6.5,156567,65.03,4.6,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,2015,109,7.3,39723,33.31,5.1,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,2016,144,7.3,76935,52.82,4.8,1,1
1,1,0,0,0,0,0,0,0,0,0,0,1,2015,148,6.8,308981,200.07,6,0,1
0,0,0,0,0,1,1,0,0,0,0,0,1,2014,118,7.9,332476,32.28,7.6,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,2016,101,7.9,72778,48.02,8.4,0,1
0,1,0,0,0,0,0,0,1,0,0,0,0,2016,84,5.2,2127,,5.9,0,1
0,0,0,0,0,0,1,0,0,0,1,1,0,2013,126,8,390531,25.56,9,0,1
0,1,1,0,1,0,0,0,0,0,0,0,0,2013,102,7.5,451894,400.74,7.4,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,2015,130,6.5,143069,93.42,6,0,1
1,1,0,0,0,0,1,0,0,0,0,0,0,2014,130,7.6,337777,208.54,7.9,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,2008,107,7,321442,110.42,7.1,0,1
0,0,0,0,0,0,0,0,1,1,0,0,1,2016,134,7.4,137203,102.46,6.5,0,1
1,1,0,0,1,0,0,0,0,0,0,0,0,2015,117,7.3,368912,180.19,6.4,0,1
0,0,0,0,1,0,0,0,0,0,1,0,0,2016,118,6.7,43086,24.09,5.9,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,2015,92,6.8,101781,25.14,8.3,0,1
0,0,0,0,0,0,1,1,0,0,0,0,0,2015,105,7,117018,201.15,6.7,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,2016,112,5.9,1176,,,0,1
0,0,0,0,0,0,1,0,0,0,0,0,1,2016,124,8,22389,3.4,8.5,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0,2015,135,6,24003,,5.1,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,2016,113,6.3,11944,1.72,5.3,0,1
0,0,0,0,0,0,1,1,1,0,0,0,0,2015,119,6.6,97454,31.06,6.6,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,2011,100,7.8,461509,35.05,7.8,0,1
0,0,0,0,1,0,1,0,0,0,1,0,0,2015,125,6.3,106364,110.01,7.5,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0,2016,133,7.2,27382,12.53,6,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,2016,94,5.6,1445,,4.2,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,2015,128,8.1,268282,44.99,9.3,0,1
0,0,0,0,0,0,0,0,1,0,0,1,1,2016,92,5.8,22107,3.91,4.8,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,2011,140,8.2,355722,13.65,7.1,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2011,124,6.9,547368,176.64,6.6,0,1
0,0,0,0,0,1,1,0,0,0,0,0,1,2016,95,6.3,3799,,,0,1
0,1,0,1,0,0,1,0,0,0,0,0,0,2007,148,8.1,459304,18.35,7.3,0,1
0,0,0,1,0,0,1,0,0,0,0,0,1,2014,114,8.1,532353,91.12,7.3,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,2016,107,6.3,97082,127.38,5.2,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,2014,113,7.9,471815,100.19,7.1,0,1
0,0,0,0,0,0,1,1,1,0,0,0,0,2016,146,6.5,12193,8.1,4.7,0,1
0,0,0,1,0,0,1,0,0,0,0,0,1,2016,134,7.3,79855,21.48,5.8,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2008,126,7.9,737719,318.3,7.9,0,0
1,1,0,0,0,0,0,0,0,1,0,0,0,2016,120,5.7,70504,66,3.3,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2011,132,7.8,550011,146.41,6.5,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,2016,99,7.5,5435,0.51,8.1,0,1
0,0,0,0,1,0,1,0,0,0,1,0,0,2016,118,7.5,26089,2.14,9,0,1
0,0,0,0,1,0,0,0,0,0,1,0,0,2011,125,6.8,227912,169.08,7.5,0,1
0,0,0,0,0,0,1,0,1,0,0,0,1,2016,111,6.7,23713,,6.7,0,0
1,1,0,0,0,0,1,0,0,0,0,0,0,2015,114,6.1,161396,155.18,4.3,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,2012,94,5.3,114290,14.12,6.3,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2007,144,7.1,531112,318.76,6.1,1,1
1,0,0,0,0,0,1,0,0,1,0,0,0,2013,104,5.8,54679,,4.9,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,2013,112,7,443584,206.36,5.4,0,0
